Выбери правильный вариант написания,автобус,афтобус,овтобус,офтобус
Выбери правильный вариант написания,автомобиль,афтомобиль,автомабиль,афтамабиль
Выбери правильный вариант написания,адрес,адрис,адрез,адриз
Выбери правильный вариант написания,аппетит,апетит,апитит,аппитит
Выбери правильный вариант написания,апрель,опрель,,
Выбери правильный вариант написания,берег,бериг,берек,берик
Выбери правильный вариант написания,берёза,бирёза,,
Выбери правильный вариант написания,быстро,быстра,,
Выбери правильный вариант написания,вдруг,вдрук,в друг,в друк
Выбери правильный вариант написания,весело,весило,,
Выбери правильный вариант написания,ветер,ветир,,
Выбери правильный вариант написания,вокзал,вакзал,,
Выбери правильный вариант написания,воробей,варобей,ворабей,варабей
Выбери правильный вариант написания,ворона,варона,,
Выбери правильный вариант написания,воскресенье,васкресенье,воскрисенье,васкрисенье
Выбери правильный вариант написания,вторник,фторник,вторнек,фторнек
Выбери правильный вариант написания,вчера,вчира,фчера,фчира
Выбери правильный вариант написания,герой,гирой,,
Выбери правильный вариант написания,город,горот,горад,горат
Выбери правильный вариант написания,девочка,девачка,девачька,девочька
Выбери правильный вариант написания,дежурный,дижурный,,
Выбери правильный вариант написания,декабрь,дикабрь,декапрь,дикапрь
Выбери правильный вариант написания,деревня,диревня,,
Выбери правильный вариант написания,до свидания,досвидания,до сведания,досведания
Выбери правильный вариант написания,дорога,дарога,,
Выбери правильный вариант написания,дятел,дятил,,
Выбери правильный вариант написания,завод,завот,,
Выбери правильный вариант написания,завтра,зафтра,,
Выбери правильный вариант написания,завтрак,завтрок,зафтрок,зафтрак
Выбери правильный вариант написания,заря,зоря,,
Выбери правильный вариант написания,заяц,заиц,,
Выбери правильный вариант написания,здание,сдание,зданее,сданеее
Выбери правильный вариант написания,здравствуйте,здраствуйте,сдравствуйте,сдраствуйте
Выбери правильный вариант написания,земляника,зимляника,зимленика,зимлиника
Выбери правильный вариант написания,извините,извените,извинити,извенити
Выбери правильный вариант написания,иней,иний,,
Выбери правильный вариант написания,июль,ийуль,эюль,
Выбери правильный вариант написания,июнь,ийунь,эюнь,
Выбери правильный вариант написания,каникулы,коникулы,куникулы,каныкулы
Выбери правильный вариант написания,капуста,копуста,кепуста,
Выбери правильный вариант написания,карандаш,корандаш,карандашь,корандашь
Выбери правильный вариант написания,картина,кортина,,
Выбери правильный вариант написания,квартира,квортира,,
Выбери правильный вариант написания,кино,кено,,
Выбери правильный вариант написания,кинофильм,кенофильм,кенафильм,кинафильм
Выбери правильный вариант написания,класс,клас,,
Выбери правильный вариант написания,компьютер,кампьютер,компютер,кампютер
Выбери правильный вариант написания,коньки,каньки,,
Выбери правильный вариант написания,корзина,карзина,,
Выбери правильный вариант написания,корова,карова,,
Выбери правильный вариант написания,космонавт,космонафт,косманавт,косманафт
Выбери правильный вариант написания,космос,космас,космоз,космаз
Выбери правильный вариант написания,костюм,кастюм,,
Выбери правильный вариант написания,Красная площадь,красная площадь,Красная Площадь,Красная площать
Выбери правильный вариант написания,лестница,лесница,лестнеца,леснеца
Выбери правильный вариант написания,лисица,лесица,,
Выбери правильный вариант написания,лопата,лапата,,
Выбери правильный вариант написания,машина,мошина,мошына,машына
Выбери правильный вариант написания,медведица,мидведица,медведеца,мидведеца
Выбери правильный вариант написания,медведь,мидведь,,
Выбери правильный вариант написания,месяц,месиц,месец,
Выбери правильный вариант написания,мечта,мичта,мечьта,мичьта
Выбери правильный вариант написания,молоко,малоко,молако,малако
Выбери правильный вариант написания,мороженое,мароженое,морожиное,марожиное
Выбери правильный вариант написания,мороз,мароз,морос,марос
Выбери правильный вариант написания,Москва,москва,Масква,масква
Выбери правильный вариант написания,мультфильм,мульфильм,,
Выбери правильный вариант написания,народ,нарот,,
Выбери правильный вариант написания,ноябрь,наябрь,,
Выбери правильный вариант написания,обед,абед,,
Выбери правильный вариант написания,обезьяна,абезьяна,обизьяна,абизьяна
Выбери правильный вариант написания,облако,облоко,,
Выбери правильный вариант написания,овощи,оващи,,
Выбери правильный вариант написания,одежда,адежда,,
Выбери правильный вариант написания,однажды,аднажды,,
Выбери правильный вариант написания,одуванчик,адуванчик,одуванчек,адуванчек
Выбери правильный вариант написания,октябрь,актябрь,октяпрь,актяпрь
Выбери правильный вариант написания,отец,атец,,
Выбери правильный вариант написания,пальто,польто,,
Выбери правильный вариант написания,пенал,пинал,,
Выбери правильный вариант написания,петух,питух,,
Выбери правильный вариант написания,пирог,перог,пирок,перок
Выбери правильный вариант написания,платок,плоток,,
Выбери правильный вариант написания,пожалуйста,пажалуйста,пожалуста,пажалуста
Выбери правильный вариант написания,поляна,палотенце,полатенце,палатенце
Выбери правильный вариант написания,понедельник,панедельник,понидельник,панидельник
Выбери правильный вариант написания,посуда,пасуда,,
Выбери правильный вариант написания,поэт,паэт,,
Выбери правильный вариант написания,праздник,празник,,
Выбери правильный вариант написания,приветливо,преветливо,приветлево,преветлево
Выбери правильный вариант написания,пятница,пятнеца,,
Выбери правильный вариант написания,работа,робота,,
Выбери правильный вариант написания,радио,радео,,
Выбери правильный вариант написания,ребята,рибята,,
Выбери правильный вариант написания,рисунок,ресунок,,
Выбери правильный вариант написания,Родина,родина,Родена,родена
Выбери правильный вариант написания,Россия,Росия,Рассия,Расия
Выбери правильный вариант написания,русский,руский,,
Выбери правильный вариант написания,сапоги,сапаги,сопаги,сапаги
Выбери правильный вариант написания,сегодня,сигодня,севодня,сиводня
Выбери правильный вариант написания,сентябрь,синтябрь,сентяпрь,синтяпрь
Выбери правильный вариант написания,скоро,скора,,
Выбери правильный вариант написания,собака,сабака,,
Выбери правильный вариант написания,соловей,саловей,солавей,салавей
Выбери правильный вариант написания,сорока,сарока,,
Выбери правильный вариант написания,сосед,сосет,сасед,сасет
Выбери правильный вариант написания,спасибо,спосибо,спасиба,спосиба
Выбери правильный вариант написания,среда,срида,,
Выбери правильный вариант написания,столица,сталица,,
Выбери правильный вариант написания,суббота,субота,,
Выбери правильный вариант написания,телевизор,теливизор,тиливизор,тилевизор
Выбери правильный вариант написания,телефон,тилефон,,
Выбери правильный вариант написания,тетрадь,тетрать,титрадь,титрать
Выбери правильный вариант написания,товарищ,таварищ,товарищь,таварищь
Выбери правильный вариант написания,ужин,ужен,,
Выбери правильный вариант написания,улица,улеца,,
Выбери правильный вариант написания,ученик,учиник,,
Выбери правильный вариант написания,учитель,учитиль,,
Выбери правильный вариант написания,учительница,учитильница,учительнеца,учитильница
Выбери правильный вариант написания,фамилия,фомилия,,
Выбери правильный вариант написания,хорошо,хорашо,харошо,харашо
Выбери правильный вариант написания,четверг,читверг,четверк,читверк
Выбери правильный вариант написания,что,што,,
Выбери правильный вариант написания,чувствовать,чуство,чюство,чювство
Выбери правильный вариант написания,шёл,шол,,
Выбери правильный вариант написания,щавель,щавиль,щявель,щявиль
Выбери правильный вариант написания,ягода,ягада,,
Выбери правильный вариант написания,язык,изык,,
Выбери правильный вариант написания,январь,енварь,инварь,
